# x  y  u  v  psi  vort
    161.000000     11.000000      0.984003      0.003029     10.822811     -0.000000
    171.000000     11.000000      0.981039      0.003558     10.789946     -0.000000
    181.000000     11.000000      0.977559      0.004179     10.751344     -0.000000
    191.000000     11.000000      0.973473      0.004908     10.706012     -0.000000
    201.000000     11.000000      0.968676      0.005765     10.652768     -0.000000
    211.000000     11.000000      0.963042      0.006776     10.590204     -0.000000
    221.000000     11.000000      0.956420      0.007973     10.516632     -0.000000
    231.000000     11.000000      0.948628      0.009393     10.430014     -0.000000
    241.000000     11.000000      0.939445      0.011087     10.327872     -0.000000
    251.000000     11.000000      0.928601      0.013117     10.207168     -0.000000
    261.000000     11.000000      0.915763      0.015566     10.064146     -0.000000
    271.000000     11.000000      0.900515      0.018539      9.894118     -0.000000
    281.000000     11.000000      0.882336      0.022175      9.691181     -0.000000
    291.000000     11.000000      0.860561      0.026659      9.447825     -0.000000
    301.000000     11.000000      0.834341      0.032235      9.154408     -0.000000
    311.000000     11.000000      0.802575      0.039230      8.798452     -0.000000
    321.000000     11.000000      0.763831      0.048073      8.363723     -0.000000
    331.000000     11.000000      0.716233      0.059315      7.829088     -0.000000
    341.000000     11.000000      0.657333      0.073620      7.167317     -0.000000
    351.000000     11.000000      0.583994      0.091667      6.344316     -0.000000
    361.000000     11.000000      0.492371      0.113844      5.320247     -0.000000
    371.000000     11.000000      0.378288      0.139491      4.055696     -0.000011
    381.000000     11.000000      0.238880      0.164228      2.531533     -0.000519
    391.000000     11.000000      0.083456      0.155015      0.868527     -0.007504
    451.000000     11.000000     -0.000150      0.003266     -0.001685      0.003161
    461.000000     11.000000     -0.014267      0.025429     -0.160409      0.001294
    471.000000     11.000000     -0.040911      0.033184     -0.462598     -0.000003
    481.000000     11.000000     -0.070286      0.033433     -0.799615     -0.000813
    491.000000     11.000000     -0.098158      0.030884     -1.122316     -0.001344
    501.000000     11.000000     -0.123337      0.027768     -1.415578     -0.001745
    511.000000     11.000000     -0.145820      0.024873     -1.678467     -0.002088
    521.000000     11.000000     -0.165936      0.022386     -1.914410     -0.002403
    531.000000     11.000000     -0.184044      0.020291     -2.127486     -0.002704
    541.000000     11.000000     -0.200450      0.018521     -2.321299     -0.002999
    551.000000     11.000000     -0.215397      0.017005     -2.498744     -0.003293
    561.000000     11.000000     -0.229064      0.015678     -2.662025     -0.003591
    571.000000     11.000000     -0.241579      0.014483     -2.812741     -0.003897
    581.000000     11.000000     -0.253024      0.013368     -2.951950     -0.004214
    591.000000     11.000000     -0.263435      0.012286     -3.080213     -0.004546
    601.000000     11.000000     -0.272811      0.011189     -3.197619     -0.004895
    611.000000     11.000000     -0.281105      0.010029     -3.303785     -0.005264
    621.000000     11.000000     -0.288231      0.008757     -3.397837     -0.005654
    631.000000     11.000000     -0.294055      0.007320     -3.478389     -0.006069
    641.000000     11.000000     -0.298395      0.005661     -3.543508     -0.006509
    651.000000     11.000000     -0.301022      0.003723     -3.590694     -0.006974
    661.000000     11.000000     -0.301649      0.001444     -3.616846     -0.007466
    671.000000     11.000000     -0.299940     -0.001237     -3.618253     -0.007984
    681.000000     11.000000     -0.295503     -0.004381     -3.590585     -0.008527
    691.000000     11.000000     -0.287891     -0.008049     -3.528907     -0.009092
    701.000000     11.000000     -0.276611     -0.012298     -3.427690     -0.009678
    711.000000     11.000000     -0.261116     -0.017185     -3.280841     -0.010281
    721.000000     11.000000     -0.240816     -0.022763     -3.081715     -0.010898
    731.000000     11.000000     -0.215071     -0.029090     -2.823110     -0.011523
    741.000000     11.000000     -0.183192     -0.036233     -2.497221     -0.012152
    751.000000     11.000000     -0.144426     -0.044275     -2.095491     -0.012781
    761.000000     11.000000     -0.097933     -0.053344     -1.608335     -0.013405
    771.000000     11.000000     -0.042743     -0.063632     -1.024603     -0.014019
    781.000000     11.000000      0.022323     -0.075455     -0.330656     -0.014622
    791.000000     11.000000      0.098780     -0.089338      0.491250     -0.015211
    801.000000     11.000000      0.188705     -0.106178      1.465783     -0.015786
    811.000000     11.000000      0.295113     -0.127570      2.629688     -0.016349
    821.000000     11.000000      0.422635     -0.156503      4.041748     -0.016901
    831.000000     11.000000      0.578724     -0.199113      5.804074     -0.017443
    841.000000     11.000000      0.775520     -0.269782      8.114174     -0.017959

      1.000000     21.000000      0.999968      0.000687     20.999314     -0.000000
     11.000000     21.000000      0.999645      0.000701     20.992397     -0.000000
     21.000000     21.000000      0.999311      0.000739     20.985218     -0.000000
     31.000000     21.000000      0.998952      0.000803     20.977531     -0.000000
     41.000000     21.000000      0.998558      0.000893     20.969079     -0.000000
     51.000000     21.000000      0.998116      0.001011     20.959585     -0.000000
     61.000000     21.000000      0.997611      0.001162     20.948748     -0.000000
     71.000000     21.000000      0.997029      0.001348     20.936233     -0.000000
     81.000000     21.000000      0.996351      0.001573     20.921666     -0.000000
     91.000000     21.000000      0.995558      0.001844     20.904623     -0.000000
    101.000000     21.000000      0.994629      0.002166     20.884622     -0.000000
    111.000000     21.000000      0.993536      0.002547     20.861110     -0.000000
    121.000000     21.000000      0.992252      0.002997     20.833452     -0.000000
