# x  y  u  v  psi  vort
    161.000000     11.000000      0.983963      0.003018     10.822373     -0.000000
    171.000000     11.000000      0.981008      0.003550     10.789603     -0.000000
    181.000000     11.000000      0.977534      0.004172     10.751076     -0.000000
    191.000000     11.000000      0.973454      0.004903     10.705799     -0.000000
    201.000000     11.000000      0.968661      0.005762     10.652596     -0.000000
    211.000000     11.000000      0.963029      0.006774     10.590061     -0.000000
    221.000000     11.000000      0.956409      0.007971     10.516509     -0.000000
    231.000000     11.000000      0.948618      0.009392     10.429901     -0.000000
    241.000000     11.000000      0.939435      0.011087     10.327760     -0.000000
    251.000000     11.000000      0.928591      0.013119     10.207049     -0.000000
    261.000000     11.000000      0.915751      0.015568     10.064012     -0.000000
    271.000000     11.000000      0.900501      0.018542      9.893961     -0.000000
    281.000000     11.000000      0.882318      0.022179      9.690991     -0.000000
    291.000000     11.000000      0.860539      0.026664      9.447591     -0.000000
    301.000000     11.000000      0.834314      0.032241      9.154121     -0.000000
    311.000000     11.000000      0.802543      0.039237      8.798102     -0.000000
    321.000000     11.000000      0.763792      0.048081      8.363299     -0.000000
    331.000000     11.000000      0.716186      0.059323      7.828587     -0.000000
    341.000000     11.000000      0.657279      0.073627      7.166741     -0.000000
    351.000000     11.000000      0.583934      0.091671      6.343683     -0.000000
    361.000000     11.000000      0.492308      0.113843      5.319595     -0.000000
    371.000000     11.000000      0.378229      0.139482      4.055093     -0.000011
    381.000000     11.000000      0.238834      0.164208      2.531077     -0.000519
    391.000000     11.000000      0.083436      0.154985      0.868335     -0.007503
    451.000000     11.000000     -0.000149      0.003230     -0.001666      0.003127
    461.000000     11.000000     -0.014144      0.025184     -0.158807      0.001288
    471.000000     11.000000     -0.040565      0.032855     -0.458085      0.000009
    481.000000     11.000000     -0.069664      0.033033     -0.791472     -0.000788
    491.000000     11.000000     -0.097199      0.030387     -1.109717     -0.001303
    501.000000     11.000000     -0.121958      0.027143     -1.397397     -0.001683
    511.000000     11.000000     -0.143916      0.024091     -1.653268     -0.001997
    521.000000     11.000000     -0.163382      0.021419     -1.880483     -0.002276
    531.000000     11.000000     -0.180699      0.019116     -2.082869     -0.002530
    541.000000     11.000000     -0.196158      0.017119     -2.263814     -0.002767
    551.000000     11.000000     -0.209994      0.015363     -2.426047     -0.002989
    561.000000     11.000000     -0.222385      0.013792     -2.571684     -0.003199
    571.000000     11.000000     -0.233468      0.012361     -2.702345     -0.003399
    581.000000     11.000000     -0.243348      0.011038     -2.819261     -0.003589
    591.000000     11.000000     -0.252105      0.009796     -2.923367     -0.003772
    601.000000     11.000000     -0.259800      0.008616     -3.015382     -0.003946
    611.000000     11.000000     -0.266482      0.007486     -3.095858     -0.004112
    621.000000     11.000000     -0.272188      0.006395     -3.165236     -0.004271
    631.000000     11.000000     -0.276951      0.005337     -3.223873     -0.004422
    641.000000     11.000000     -0.280799      0.004307     -3.272072     -0.004564
    651.000000     11.000000     -0.283757      0.003304     -3.310105     -0.004698
    661.000000     11.000000     -0.285849      0.002325     -3.338226     -0.004823
    671.000000     11.000000     -0.287098      0.001371     -3.356681     -0.004939
    681.000000     11.000000     -0.287528      0.000441     -3.365719     -0.005045
    691.000000     11.000000     -0.287166     -0.000462     -3.365592     -0.005141
    701.000000     11.000000     -0.286036     -0.001340     -3.356558     -0.005226
    711.000000     11.000000     -0.284166     -0.002192     -3.338875     -0.005299
    721.000000     11.000000     -0.281582     -0.003019     -3.312798     -0.005359
    731.000000     11.000000     -0.278312     -0.003820     -3.278582     -0.005405
    741.000000     11.000000     -0.274385     -0.004596     -3.236478     -0.005435
    751.000000     11.000000     -0.269831     -0.005343     -3.186758     -0.005448
    761.000000     11.000000     -0.264686     -0.006051     -3.129752     -0.005440
    771.000000     11.000000     -0.258996     -0.006698     -3.065942     -0.005410
    781.000000     11.000000     -0.252833     -0.007245     -2.996113     -0.005355
    791.000000     11.000000     -0.246308     -0.007621     -2.921597     -0.005273
    801.000000     11.000000     -0.239600     -0.007715     -2.844622     -0.005167
    811.000000     11.000000     -0.232993     -0.007377     -2.768723     -0.005041
    821.000000     11.000000     -0.226909     -0.006434     -2.699084     -0.004910
    831.000000     11.000000     -0.221922     -0.004757     -2.642483     -0.004793
    841.000000     11.000000     -0.218701     -0.002372     -2.606319     -0.004716

      1.000000     21.000000      0.998434      0.000007     20.966446     -0.000000
     11.000000     21.000000      0.998400      0.000141     20.965706     -0.000000
     21.000000     21.000000      0.998302      0.000280     20.963604     -0.000000
     31.000000     21.000000      0.998138      0.000427     20.960080     -0.000000
     41.000000     21.000000      0.997902      0.000586     20.955029     -0.000000
     51.000000     21.000000      0.997589      0.000762     20.948307     -0.000000
     61.000000     21.000000      0.997190      0.000959     20.939722     -0.000000
     71.000000     21.000000      0.996692      0.001184     20.929031     -0.000000
     81.000000     21.000000      0.996083      0.001441     20.915936     -0.000000
     91.000000     21.000000      0.995346      0.001738     20.900079     -0.000000
    101.000000     21.000000      0.994461      0.002081     20.881029     -0.000000
    111.000000     21.000000      0.993404      0.002479     20.858278     -0.000000
    121.000000     21.000000      0.992148      0.002943     20.831225     -0.000000
    131.000000     21.000000      0.990661      0.003483     20.799167     -0.000000
    141.000000     21.000000      0.988904      0.004112     20.761276     -0.000000
    151.000000     21.000000      0.986834      0.004846     20.716583     -0.000000
    161.000000     21.000000      0.984397      0.005703     20.663951     -0.000000
    171.000000     21.000000      0.981535      0.006705     20.602044     -0.000000
    181.000000     21.000000      0.978174      0.007878     20.529288     -0.000000
    191.000000     21.000000      0.974232      0.009252     20.443826     -0.000000
    201.000000     21.000000      0.969608      0.010867     20.343450     -0.000000
    211.000000     21.000000      0.964184      0.012769     20.225535     -0.000000
    221.000000     21.000000      0.957821      0.015016     20.086933     -0.000000
    231.000000     21.000000      0.950349      0.017679     19.923847     -0.000000
    241.000000     21.000000      0.941565      0.020851     19.731671     -0.000000
