# x  y  u  v  psi  vort
    171.000000     11.000000      0.950880      0.008383     10.456737     -0.000000
    181.000000     11.000000      0.942738      0.009663     10.366649     -0.000000
    191.000000     11.000000      0.933363      0.011119     10.262901     -0.000000
    201.000000     11.000000      0.922584      0.012777     10.143605     -0.000000
    211.000000     11.000000      0.910208      0.014663     10.006615     -0.000000
    221.000000     11.000000      0.896014      0.016807      9.849499     -0.000000
    231.000000     11.000000      0.879754      0.019246      9.669497     -0.000000
    241.000000     11.000000      0.861145      0.022017      9.463483     -0.000000
    251.000000     11.000000      0.839869      0.025163      9.227923     -0.000000
    261.000000     11.000000      0.815564      0.028731      8.958834     -0.000000
    271.000000     11.000000      0.787826      0.032769      8.651756     -0.000000
    281.000000     11.000000      0.756203      0.037328      8.301730     -0.000000
    291.000000     11.000000      0.720200      0.042453      7.903323     -0.000000
    301.000000     11.000000      0.679281      0.048177      7.450692     -0.000000
    311.000000     11.000000      0.632881      0.054515      6.937750     -0.000000
    321.000000     11.000000      0.580434      0.061441      6.358445     -0.000000
    331.000000     11.000000      0.521411      0.068876      5.707235     -0.000000
    341.000000     11.000000      0.455383      0.076655      4.979778     -0.000000
    351.000000     11.000000      0.382107      0.084509      4.173877     -0.000000
    361.000000     11.000000      0.301642      0.092039      3.290649     -0.000003
    371.000000     11.000000      0.214527      0.098494      2.336441     -0.000082
    381.000000     11.000000      0.122883      0.100122      1.335139     -0.000907
    391.000000     11.000000      0.037738      0.077952      0.408560     -0.004951
    451.000000     11.000000     -0.000065      0.001426     -0.000729      0.001395
    461.000000     11.000000     -0.006755      0.012524     -0.075169      0.000828
    471.000000     11.000000     -0.021171      0.018837     -0.235396      0.000393
    481.000000     11.000000     -0.039695      0.021880     -0.441147      0.000097
    491.000000     11.000000     -0.059986      0.022966     -0.666583     -0.000091
    501.000000     11.000000     -0.080716      0.023015     -0.897089     -0.000214
    511.000000     11.000000     -0.101216      0.022571     -1.125289     -0.000304
    521.000000     11.000000     -0.121181      0.021911     -1.347809     -0.000380
    531.000000     11.000000     -0.140490      0.021169     -1.563245     -0.000451
    541.000000     11.000000     -0.159104      0.020405     -1.771115     -0.000519
    551.000000     11.000000     -0.177024      0.019648     -1.971365     -0.000587
    561.000000     11.000000     -0.194268      0.018914     -2.164153     -0.000653
    571.000000     11.000000     -0.210860      0.018207     -2.349733     -0.000718
    581.000000     11.000000     -0.226829      0.017531     -2.528400     -0.000782
    591.000000     11.000000     -0.242204      0.016885     -2.700453     -0.000845
    601.000000     11.000000     -0.257012      0.016266     -2.866182     -0.000906
    611.000000     11.000000     -0.271276      0.015673     -3.025856     -0.000966
    621.000000     11.000000     -0.285020      0.015103     -3.179719     -0.001025
    631.000000     11.000000     -0.298263      0.014555     -3.327995     -0.001082
    641.000000     11.000000     -0.311024      0.014026     -3.470886     -0.001138
    651.000000     11.000000     -0.323320      0.013514     -3.608575     -0.001192
    661.000000     11.000000     -0.335167      0.013018     -3.741226     -0.001245
    671.000000     11.000000     -0.346576      0.012536     -3.868987     -0.001296
    681.000000     11.000000     -0.357561      0.012065     -3.991986     -0.001346
    691.000000     11.000000     -0.368131      0.011604     -4.110327     -0.001394
    701.000000     11.000000     -0.378294      0.011149     -4.224087     -0.001440
    711.000000     11.000000     -0.388054      0.010695     -4.333308     -0.001485
    721.000000     11.000000     -0.397411      0.010239     -4.437984     -0.001527
    731.000000     11.000000     -0.406361      0.009772     -4.538050     -0.001568
    741.000000     11.000000     -0.414891      0.009287     -4.633366     -0.001606
    751.000000     11.000000     -0.422981      0.008774     -4.723700     -0.001642
    761.000000     11.000000     -0.430601      0.008220     -4.808708     -0.001676
    771.000000     11.000000     -0.437710      0.007612     -4.887921     -0.001707
    781.000000     11.000000     -0.444252      0.006937     -4.960731     -0.001735
    791.000000     11.000000     -0.450161      0.006181     -5.026394     -0.001760
    801.000000     11.000000     -0.455356      0.005332     -5.084040     -0.001782
    811.000000     11.000000     -0.459750      0.004386     -5.132717     -0.001800
    821.000000     11.000000     -0.463252      0.003345     -5.171454     -0.001814
    831.000000     11.000000     -0.465777      0.002221     -5.199350     -0.001824
    841.000000     11.000000     -0.467257      0.001037     -5.215680     -0.001830

      1.000000     21.000000      0.995113      0.000019     20.895575     -0.000000
     11.000000     21.000000      0.995015      0.000399     20.893485     -0.000000
     21.000000     21.000000      0.994738      0.000788     20.887561     -0.000000
     31.000000     21.000000      0.994275      0.001197     20.877656     -0.000000
     41.000000     21.000000      0.993615      0.001634     20.863529     -0.000000
     51.000000     21.000000      0.992741      0.002111     20.844838     -0.000000
     61.000000     21.000000      0.991633      0.002638     20.821137     -0.000000
     71.000000     21.000000      0.990266      0.003226     20.791871     -0.000000
     81.000000     21.000000      0.988607      0.003888     20.756364     -0.000000
     91.000000     21.000000      0.986619      0.004638     20.713814     -0.000000
    101.000000     21.000000      0.984259      0.005488     20.663279     -0.000000
    111.000000     21.000000      0.981475      0.006456     20.603664     -0.000000
    121.000000     21.000000      0.978210      0.007560     20.533705     -0.000000
    131.000000     21.000000      0.974394      0.008818     20.451955     -0.000000
    141.000000     21.000000      0.969952      0.010254     20.356756     -0.000000
    151.000000     21.000000      0.964796      0.011890     20.246218     -0.000000
    161.000000     21.000000      0.958827      0.013756     20.118193     -0.000000
    171.000000     21.000000      0.951930      0.015882     19.970239     -0.000000
