# Quartic Well - state n = 1
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   2.3936440E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    4.0960000000E+03    1.0142387050-105    0.0000000000E+00    1.0286801508-210    1.0142387050-105    0.0000000000E+00
   -7.9920000000E+00    4.0796405596E+03    2.0893451754-105    0.0000000000E+00    4.3653632618-210    2.0893451754-105    4.4181889420-107
   -7.9840000000E+00    4.0633301730E+03    4.2996058926-105    0.0000000000E+00    1.8486610832-209    4.2996058926-105    9.0521493693-107
   -7.9760000000E+00    4.0470687420E+03    8.8361680716-105    0.0000000000E+00    7.8077866189-209    8.8361680716-105    1.8514454757-106
   -7.9680000000E+00    4.0308561685E+03    1.8133664536-104    0.0000000000E+00    3.2882978952-208    1.8133664536-104    3.7810726829-106
   -7.9600000000E+00    4.0146923546E+03    3.7160941555-104    0.0000000000E+00    1.3809355773-207    3.7160941555-104    7.7105688954-106
   -7.9520000000E+00    3.9985772024E+03    7.6044221794-104    0.0000000000E+00    5.7827236683-207    7.6044221794-104    1.5701128739-105
   -7.9440000000E+00    3.9825106141E+03    1.5539044025-103    0.0000000000E+00    2.4146188921-206    1.5539044025-103    3.1926418793-105
   -7.9360000000E+00    3.9664924922E+03    3.1707459461-103    0.0000000000E+00    1.0053629855-205    3.1707459461-103    6.4825415132-105
   -7.9280000000E+00    3.9505227389E+03    6.4606802326-103    0.0000000000E+00    4.1740389067-205    6.4606802326-103    1.3143675968-104
   -7.9200000000E+00    3.9346012570E+03    1.3145445147-102    0.0000000000E+00    1.7280272812-204    1.3145445147-102    2.6611259697-104
   -7.9120000000E+00    3.9187279489E+03    2.6708727766-102    0.0000000000E+00    7.1335613889-204    2.6708727766-102    5.3801164696-104
   -7.9040000000E+00    3.9029027174E+03    5.4189177990-102    0.0000000000E+00    2.9364670113-203    5.4189177990-102    1.0861659308-103
   -7.8960000000E+00    3.8871254653E+03    1.0978777582-101    0.0000000000E+00    1.2053355719-202    1.0978777582-101    2.1896743415-103
   -7.8880000000E+00    3.8713960957E+03    2.2211509656-101    0.0000000000E+00    4.9335116119-202    2.2211509656-101    4.4080076096-103
   -7.8800000000E+00    3.8557145114E+03    4.4873034540-101    0.0000000000E+00    2.0135892288-201    4.4873034540-101    8.8610501475-103
   -7.8720000000E+00    3.8400806156E+03    9.0526697869-101    0.0000000000E+00    8.1950830271-201    9.0526697869-101    1.7787245745-102
   -7.8640000000E+00    3.8244943115E+03    1.8236958104-100    0.0000000000E+00    3.3258664089-200    1.8236958104-100    3.5654427527-102
