# Quartic Well - state n = 4
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   1.0244309E+01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.7120000000E+00    3.5372689638E+03   -5.5704154720E-93    0.0000000000E+00    3.1029528530-185   -5.5704154720E-93    2.5726765627E-94
   -7.7040000000E+00    3.5226143218E+03   -1.0903295468E-92    0.0000000000E+00    1.1888185207-184   -1.0903295468E-92    5.0097152876E-94
   -7.6960000000E+00    3.5080052619E+03   -2.1312015460E-92    0.0000000000E+00    4.5420200298-184   -2.1312015460E-92    9.7416845854E-94
   -7.6880000000E+00    3.4934416894E+03   -4.1599529518E-92    0.0000000000E+00    1.7305208561-183   -4.1599529518E-92    1.8916851208E-93
   -7.6800000000E+00    3.4789235098E+03   -8.1086784110E-92    0.0000000000E+00    6.5750665572-183   -8.1086784110E-92    3.6682421491E-93
   -7.6720000000E+00    3.4644506287E+03   -1.5783746700E-91    0.0000000000E+00    2.4912665989-182   -1.5783746700E-91    7.1033319568E-93
   -7.6640000000E+00    3.4500229517E+03   -3.0680971240E-91    0.0000000000E+00    9.4132199621-182   -3.0680971240E-91    1.3736047711E-92
   -7.6560000000E+00    3.4356403847E+03   -5.9556296894E-91    0.0000000000E+00    3.5469524997-181   -5.9556296894E-91    2.6525137065E-92
   -7.6480000000E+00    3.4213028335E+03   -1.1544801172E-90    0.0000000000E+00    1.3328243410-180   -1.1544801172E-90    5.1150543155E-92
   -7.6400000000E+00    3.4070102042E+03   -2.2348378867E-90    0.0000000000E+00    4.9945003800-180   -2.2348378867E-90    9.8500907202E-92
   -7.6320000000E+00    3.3927624026E+03   -4.3202312695E-90    0.0000000000E+00    1.8664398222-179   -4.3202312695E-90    1.8942102381E-91
   -7.6240000000E+00    3.3785593351E+03   -8.3400754069E-90    0.0000000000E+00    6.9556857792-179   -8.3400754069E-90    3.6375979656E-91
   -7.6160000000E+00    3.3644009079E+03   -1.6078131518E-89    0.0000000000E+00    2.5850631310-178   -1.6078131518E-89    6.9759022687E-91
   -7.6080000000E+00    3.3502870274E+03   -3.0953117912E-89    0.0000000000E+00    9.5809550846-178   -3.0953117912E-89    1.3359366012E-90
   -7.6000000000E+00    3.3362176000E+03   -5.9508233838E-89    0.0000000000E+00    3.5412298945-177   -5.9508233838E-89    2.5548869178E-90
   -7.5920000000E+00    3.3221925323E+03   -1.1424946133E-88    0.0000000000E+00    1.3052939415-176   -1.1424946133E-88    4.8793108941E-90
   -7.5840000000E+00    3.3082117309E+03   -2.1904649620E-88    0.0000000000E+00    4.7981367498-176   -2.1904649620E-88    9.3056534491E-90
