# Infinite Square Well - State n = 3
# Numerical k        =       9.424777960769
# Analytic  k        =       9.424777960769
# |k - k_exact|      =    0.000000E+00
# rel. error k       =    0.000000E+00
# Numerical Energy   =      44.413219804902
# Analytic  Energy   =      44.413219804902
# |E - E_exact|      =    0.000000E+00
# rel. error E       =    0.000000E+00
# Well width L       =   1.000000
# columns: x   V(x)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
    0.0000000000E+00    1.0000000000E+20    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    1.0000000000E-03    0.0000000000E+00    1.3328451491E-02    1.3328451493E-02    1.7764761916E-04   -1.2821098350E-12    1.4804406602E-08
    2.0000000000E-03    0.0000000000E+00    2.6655719073E-02    2.6655719075E-02    7.1052735927E-04   -2.5640808921E-12    1.4803420344E-08
    3.0000000000E-03    0.0000000000E+00    3.9980618939E-02    3.9980618942E-02    1.5984498907E-03   -3.8456460238E-12    1.4801119162E-08
    4.0000000000E-03    0.0000000000E+00    5.3301967495E-02    5.3301967500E-02    2.8410997388E-03   -5.1265311440E-12    1.4797503258E-08
    5.0000000000E-03    0.0000000000E+00    6.6618581462E-02    6.6618581469E-02    4.4380353961E-03   -6.4064725747E-12    1.4792572955E-08
    6.0000000000E-03    0.0000000000E+00    7.9929277982E-02    7.9929277990E-02    6.3886894788E-03   -7.6851858211E-12    1.4786328689E-08
    7.0000000000E-03    0.0000000000E+00    9.3232874721E-02    9.3232874730E-02    8.6923689288E-03   -8.9624141442E-12    1.4778771016E-08
    8.0000000000E-03    0.0000000000E+00    1.0652818998E-01    1.0652818999E-01    1.1348255260E-02   -1.0237879988E-11    1.4769900608E-08
    9.0000000000E-03    0.0000000000E+00    1.1981404278E-01    1.1981404280E-01    1.4355404848E-02   -1.1511305797E-11    1.4759718252E-08
    1.0000000000E-02    0.0000000000E+00    1.3308925301E-01    1.3308925303E-01    1.7712749268E-02   -1.2782497283E-11    1.4748224852E-08
    1.1000000000E-02    0.0000000000E+00    1.4635264149E-01    1.4635264150E-01    2.1419095670E-02   -1.4051065866E-11    1.4735421429E-08
    1.2000000000E-02    0.0000000000E+00    1.5960303007E-01    1.5960303009E-01    2.5473127209E-02   -1.5316858892E-11    1.4721309121E-08
    1.3000000000E-02    0.0000000000E+00    1.7283924179E-01    1.7283924181E-01    2.9873403504E-02   -1.6579515538E-11    1.4705889182E-08
    1.4000000000E-02    0.0000000000E+00    1.8606010094E-01    1.8606010095E-01    3.4618361160E-02   -1.7838841515E-11    1.4689162980E-08
    1.5000000000E-02    0.0000000000E+00    1.9926443314E-01    1.9926443316E-01    3.9706314315E-02   -1.9094531511E-11    1.4671132002E-08
    1.6000000000E-02    0.0000000000E+00    2.1245106553E-01    2.1245106555E-01    4.5135455245E-02   -2.0346307972E-11    1.4651797849E-08
    1.7000000000E-02    0.0000000000E+00    2.2561882679E-01    2.2561882681E-01    5.0903855000E-02   -2.1593893340E-11    1.4631162239E-08
    1.8000000000E-02    0.0000000000E+00    2.3876654727E-01    2.3876654729E-01    5.7009464096E-02   -2.2837093328E-11    1.4609227004E-08
    1.9000000000E-02    0.0000000000E+00    2.5189305913E-01    2.5189305916E-01    6.3450113240E-02   -2.4075630378E-11    1.4585994093E-08
    2.0000000000E-02    0.0000000000E+00    2.6499719640E-01    2.6499719642E-01    7.0223514098E-02   -2.5309199181E-11    1.4561465570E-08
    2.1000000000E-02    0.0000000000E+00    2.7807779508E-01    2.7807779510E-01    7.7327260115E-02   -2.6537549935E-11    1.4535643613E-08
    2.2000000000E-02    0.0000000000E+00    2.9113369328E-01    2.9113369331E-01    8.4758827363E-02   -2.7760349575E-11    1.4508530517E-08
    2.3000000000E-02    0.0000000000E+00    3.0416373130E-01    3.0416373133E-01    9.2515575441E-02   -2.8977487077E-11    1.4480128688E-08
    2.4000000000E-02    0.0000000000E+00    3.1716675175E-01    3.1716675178E-01    1.0059474841E-01   -3.0188629374E-11    1.4450440651E-08
    2.5000000000E-02    0.0000000000E+00    3.3014159961E-01    3.3014159964E-01    1.0899347579E-01   -3.1393443400E-11    1.4419469043E-08
    2.6000000000E-02    0.0000000000E+00    3.4308712238E-01    3.4308712241E-01    1.1770877354E-01   -3.2591818133E-11    1.4387216613E-08
    2.7000000000E-02    0.0000000000E+00    3.5600217017E-01    3.5600217020E-01    1.2673754517E-01   -3.3783364994E-11    1.4353686228E-08
    2.8000000000E-02    0.0000000000E+00    3.6888559579E-01    3.6888559582E-01    1.3607658278E-01   -3.4967972962E-11    1.4318880866E-08
    2.9000000000E-02    0.0000000000E+00    3.8173625486E-01    3.8173625489E-01    1.4572256827E-01   -3.6145197946E-11    1.4282803618E-08
