# Quartic Well - state n = 0
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   6.6798626E-01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.6640000000E+00    3.4500229517E+03   -1.0096148773E-93    0.0000000000E+00    1.0193222004-186   -1.0096148773E-93    3.5234582447E-95
   -7.6560000000E+00    3.4356403847E+03   -1.9616100411E-93    0.0000000000E+00    3.8479139535-186   -1.9616100411E-93    6.8103638931E-95
   -7.6480000000E+00    3.4213028335E+03   -3.8060162792E-93    0.0000000000E+00    1.4485759917-185   -3.8060162792E-93    1.3145259205E-94
   -7.6400000000E+00    3.4070102042E+03   -7.3744604041E-93    0.0000000000E+00    5.4382666251-185   -7.3744604041E-93    2.5337644686E-94
   -7.6320000000E+00    3.3927624026E+03   -1.4268952935E-92    0.0000000000E+00    2.0360301786-184   -1.4268952935E-92    4.8771058805E-94
   -7.6240000000E+00    3.3785593351E+03   -2.7571273329E-92    0.0000000000E+00    7.6017511297-184   -2.7571273329E-92    9.3747044573E-94
   -7.6160000000E+00    3.3644009079E+03   -5.3201639103E-92    0.0000000000E+00    2.8304144033-183   -5.3201639103E-92    1.7995049642E-93
   -7.6080000000E+00    3.3502870274E+03   -1.0251732915E-91    0.0000000000E+00    1.0509802776-182   -1.0251732915E-91    3.4494446417E-93
   -7.6000000000E+00    3.3362176000E+03   -1.9727599615E-91    0.0000000000E+00    3.8917818657-182   -1.9727599615E-91    6.6030803337E-93
   -7.5920000000E+00    3.3221925323E+03   -3.7910237838E-91    0.0000000000E+00    1.4371861329-181   -3.7910237838E-91    1.2622513896E-92
   -7.5840000000E+00    3.3082117309E+03   -7.2751957955E-91    0.0000000000E+00    5.2928473862-181   -7.2751957955E-91    2.4096147530E-92
   -7.5760000000E+00    3.2942751026E+03   -1.3942459326E-90    0.0000000000E+00    1.9439217207-180   -1.3942459326E-90    4.5935923677E-92
   -7.5680000000E+00    3.2803825543E+03   -2.6683403345E-90    0.0000000000E+00    7.1200401409-180   -2.6683403345E-90    8.7450235271E-92
   -7.5600000000E+00    3.2665339930E+03   -5.0997724841E-90    0.0000000000E+00    2.6007679389-179   -5.0997724841E-90    1.6625465122E-91
   -7.5520000000E+00    3.2527293256E+03   -9.7334933919E-90    0.0000000000E+00    9.4740893611-179   -9.7334933919E-90    3.1563962902E-91
   -7.5440000000E+00    3.2389684593E+03   -1.8552209647E-89    0.0000000000E+00    3.4418448279-178   -1.8552209647E-89    5.9843191578E-91
   -7.5360000000E+00    3.2252513014E+03   -3.5312797805E-89    0.0000000000E+00    1.2469936888-177   -3.5312797805E-89    1.1330369645E-90
   -7.5280000000E+00    3.2115777592E+03   -6.7124150593E-89    0.0000000000E+00    4.5056515928-177   -6.7124150593E-89    2.1422991876E-90
   -7.5200000000E+00    3.1979477402E+03   -1.2741961280E-88    0.0000000000E+00    1.6235757726-176   -1.2741961280E-88    4.0450461982E-90
   -7.5120000000E+00    3.1843611519E+03   -2.4154896081E-88    0.0000000000E+00    5.8345900466-176   -2.4154896081E-88    7.6273692703E-90
   -7.5040000000E+00    3.1708179019E+03   -4.5728409066E-88    0.0000000000E+00    2.0910873957-175   -4.5728409066E-88    1.4362650376E-89
   -7.4960000000E+00    3.1573178981E+03   -8.6452916587E-88    0.0000000000E+00    7.4741067864-175   -8.6452916587E-88    2.7008691208E-89
   -7.4880000000E+00    3.1438610482E+03   -1.6322491721E-87    0.0000000000E+00    2.6642373597-174   -1.6322491721E-87    5.0720348726E-89
   -7.4800000000E+00    3.1304472602E+03   -3.0775642439E-87    0.0000000000E+00    9.4714016755-174   -3.0775642439E-87    9.5119874449E-89
   -7.4720000000E+00    3.1170764421E+03   -5.7948509969E-87    0.0000000000E+00    3.3580298076-173   -5.7948509969E-87    1.7814402394E-88
   -7.4640000000E+00    3.1037485020E+03   -1.0896637593E-86    0.0000000000E+00    1.1873671083-172   -1.0896637593E-86    3.3318297801E-88
   -7.4560000000E+00    3.0904633482E+03   -2.0462488166E-86    0.0000000000E+00    4.1871342196-172   -2.0462488166E-86    6.2230962399E-88
   -7.4480000000E+00    3.0772208891E+03   -3.8374319638E-86    0.0000000000E+00    1.4725884077-171   -3.8374319638E-86    1.1607615116E-87
   -7.4400000000E+00    3.0640210330E+03   -7.1868712092E-86    0.0000000000E+00    5.1651117778-171   -7.1868712092E-86    2.1621850388E-87
   -7.4320000000E+00    3.0508636884E+03   -1.3441773559E-85    0.0000000000E+00    1.8068127642-170   -1.3441773559E-85    4.0221355190E-87
   -7.4240000000E+00    3.0377487641E+03   -2.5106804452E-85    0.0000000000E+00    6.3035162977-170   -2.5106804452E-85    7.4719701807E-87
   -7.4160000000E+00    3.0246761687E+03   -4.6832255086E-85    0.0000000000E+00    2.1932601164-169   -4.6832255086E-85    1.3862091354E-86
   -7.4080000000E+00    3.0116458110E+03   -8.7240486771E-85    0.0000000000E+00    7.6109025320-169   -8.7240486771E-85    2.5682552565E-86
   -7.4000000000E+00    2.9986576000E+03   -1.6229722045E-84    0.0000000000E+00    2.6340387766-168   -1.6229722045E-84    4.7518642351E-86
   -7.3920000000E+00    2.9857114447E+03   -3.0152594689E-84    0.0000000000E+00    9.0917896648-168   -3.0152594689E-84    8.7802499313E-86
   -7.3840000000E+00    2.9728072542E+03   -5.5944773207E-84    0.0000000000E+00    3.1298176491-167   -5.5944773207E-84    1.6201952541E-85
   -7.3760000000E+00    2.9599449377E+03   -1.0366118730E-83    0.0000000000E+00    1.0745641753-166   -1.0366118730E-83    2.9856992776E-85
   -7.3680000000E+00    2.9471244046E+03   -1.9182061873E-83    0.0000000000E+00    3.6795149769-166   -1.9182061873E-83    5.4946952141E-85
   -7.3600000000E+00    2.9343455642E+03   -3.5448466940E-83    0.0000000000E+00    1.2565938084-165   -3.5448466940E-83    1.0098586650E-84
   -7.3520000000E+00    2.9216083260E+03   -6.5421922723E-83    0.0000000000E+00    4.2800279728-165   -6.5421922723E-83    1.8535215365E-84
   -7.3440000000E+00    2.9089125998E+03   -1.2057948918E-82    0.0000000000E+00    1.4539413210-164   -1.2057948918E-82    3.3974676947E-84
   -7.3360000000E+00    2.8962582951E+03   -2.2194659162E-82    0.0000000000E+00    4.9260289530-164   -2.2194659162E-82    6.2191968252E-84
   -7.3280000000E+00    2.8836453218E+03   -4.0798954986E-82    0.0000000000E+00    1.6645547279-163   -4.0798954986E-82    1.1369337043E-83
   -7.3200000000E+00    2.8710735898E+03   -7.4898950464E-82    0.0000000000E+00    5.6098527807-163   -7.4898950464E-82    2.0756707368E-83
   -7.3120000000E+00    2.8585430090E+03   -1.3731853870E-81    0.0000000000E+00    1.8856381069-162   -1.3731853870E-81    3.7844683129E-83
   -7.3040000000E+00    2.8460534897E+03   -2.5142587907E-81    0.0000000000E+00    6.3214972667-162   -2.5142587907E-81    6.8908846659E-83
   -7.2960000000E+00    2.8336049420E+03   -4.5974684689E-81    0.0000000000E+00    2.1136716323-161   -4.5974684689E-81    1.2530528655E-82
   -7.2880000000E+00    2.8211972761E+03   -8.3956849762E-81    0.0000000000E+00    7.0487526220-161   -8.3956849762E-81    2.2755622470E-82
   -7.2800000000E+00    2.8088304026E+03   -1.5311675552E-80    0.0000000000E+00    2.3444740819-160   -1.5311675552E-80    4.1269914295E-82
   -7.2720000000E+00    2.7965042318E+03   -2.7888112706E-80    0.0000000000E+00    7.7774683033-160   -2.7888112706E-80    7.4748854786E-82
   -7.2640000000E+00    2.7842186744E+03   -5.0727793316E-80    0.0000000000E+00    2.5733090147-159   -5.0727793316E-80    1.3520795902E-81
   -7.2560000000E+00    2.7719736410E+03   -9.2151810213E-80    0.0000000000E+00    8.4919561255-159   -9.2151810213E-80    2.4424591942E-81
   -7.2480000000E+00    2.7597690425E+03   -1.6718351075E-79    0.0000000000E+00    2.7950326266-158   -1.6718351075E-79    4.4063635962E-81
   -7.2400000000E+00    2.7476047898E+03   -3.0291117566E-79    0.0000000000E+00    9.1755180342-158   -3.0291117566E-79    7.9389288028E-81
   -7.2320000000E+00    2.7354807937E+03   -5.4811293813E-79    0.0000000000E+00    3.0042779295-157   -5.4811293813E-79    1.4284750357E-80
   -7.2240000000E+00    2.7233969655E+03   -9.9050877660E-79    0.0000000000E+00    9.8110763653-157   -9.9050877660E-79    2.5669250174E-80
   -7.2160000000E+00    2.7113532163E+03   -1.7876427658E-78    0.0000000000E+00    3.1956666580-156   -1.7876427658E-78    4.6066381402E-80
   -7.2080000000E+00    2.6993494573E+03   -3.2220916751E-78    0.0000000000E+00    1.0381874763-155   -3.2220916751E-78    8.2563104110E-80
   -7.2000000000E+00    2.6873856000E+03   -5.8000323455E-78    0.0000000000E+00    3.3640375208-155   -5.8000323455E-78    1.4778131703E-79
   -7.1920000000E+00    2.6754615558E+03   -1.0426989114E-77    0.0000000000E+00    1.0872210199-154   -1.0426989114E-77    2.6417107768E-79
   -7.1840000000E+00    2.6635772363E+03   -1.8720783597E-77    0.0000000000E+00    3.5046773849-154   -1.8720783597E-77    4.7161089272E-79
   -7.1760000000E+00    2.6517325532E+03   -3.3568067579E-77    0.0000000000E+00    1.1268151610-153   -3.3568067579E-77    8.4084475636E-79
   -7.1680000000E+00    2.6399274183E+03   -6.0112735296E-77    0.0000000000E+00    3.6135409447-153   -6.0112735296E-77    1.4972070228E-78
   -7.1600000000E+00    2.6281617434E+03   -1.0750906562E-76    0.0000000000E+00    1.1558199190-152   -1.0750906562E-76    2.6624566338E-78
   -7.1520000000E+00    2.6164354404E+03   -1.9202720009E-76    0.0000000000E+00    3.6874445575-152   -1.9202720009E-76    4.7284466238E-78
   -7.1440000000E+00    2.6047484215E+03   -3.4254694112E-76    0.0000000000E+00    1.1733840687-151   -3.4254694112E-76    8.3866845803E-78
   -7.1360000000E+00    2.5931005989E+03   -6.1026397941E-76    0.0000000000E+00    3.7242212456-151   -6.1026397941E-76    1.4855887721E-77
   -7.1280000000E+00    2.5814918847E+03   -1.0858161466E-75    0.0000000000E+00    1.1789967042-150   -1.0858161466E-75    2.6281127709E-77
   -7.1200000000E+00    2.5699221914E+03   -1.9294627011E-75    0.0000000000E+00    3.7228263151-150   -1.9294627011E-75    4.6433036348E-77
   -7.1120000000E+00    2.5583914313E+03   -3.4241961134E-75    0.0000000000E+00    1.1725119023-149   -3.4241961134E-75    8.1931042350E-77
   -7.1040000000E+00    2.5468995172E+03   -6.0690908725E-75    0.0000000000E+00    3.6833864019-149   -6.0690908725E-75    1.4438058422E-76
   -7.0960000000E+00    2.5354463615E+03   -1.0743159801E-74    0.0000000000E+00    1.1541548251-148   -1.0743159801E-74    2.5410232445E-76
   -7.0880000000E+00    2.5240318772E+03   -1.8992600544E-74    0.0000000000E+00    3.6071887541-148   -1.8992600544E-74    4.4663074872E-76
   -7.0800000000E+00    2.5126559770E+03   -3.3533698330E-74    0.0000000000E+00    1.1245089237-147   -3.3533698330E-74    7.8402398466E-76
   -7.0720000000E+00    2.5013185738E+03   -5.9132155503E-74    0.0000000000E+00    3.4966118144-147   -5.9132155503E-74    1.3745211806E-75
   -7.0640000000E+00    2.4900195808E+03   -1.0413862129E-73    0.0000000000E+00    1.0844852445-146   -1.0413862129E-73    2.4066641714E-75
   -7.0560000000E+00    2.4787589111E+03   -1.8316665364E-73    0.0000000000E+00    3.3550023007-146   -1.8316665364E-73    4.2084495676E-75
   -7.0480000000E+00    2.4675364779E+03   -3.2175706429E-73    0.0000000000E+00    1.0352760842-145   -3.2175706429E-73    7.3497395662E-75
   -7.0400000000E+00    2.4563521946E+03   -5.6449159600E-73    0.0000000000E+00    3.1865076196-145   -5.6449159600E-73    1.2819337237E-74
   -7.0320000000E+00    2.4452059746E+03   -9.8908860617E-73    0.0000000000E+00    9.7829627085-145   -9.8908860617E-73    2.2330765151E-74
   -7.0240000000E+00    2.4340977314E+03   -1.7308596918E-72    0.0000000000E+00    2.9958752726-144   -1.7308596918E-72    3.8849609290E-74
   -7.0160000000E+00    2.4230273788E+03   -3.0250885695E-72    0.0000000000E+00    9.1511608533-144   -3.0250885695E-72    6.7501797375E-74
   -7.0080000000E+00    2.4119948303E+03   -5.2803718686E-72    0.0000000000E+00    2.7882327071-143   -5.2803718686E-72    1.1713596486E-73
   -7.0000000000E+00    2.4010000000E+03   -9.2053800860E-72    0.0000000000E+00    8.4739022529-143   -9.2053800860E-72    2.0300747654E-73
   -6.9920000000E+00    2.3900428017E+03   -1.6027668906E-71    0.0000000000E+00    2.5688617057-142   -1.6027668906E-71    3.5138342233E-73
   -6.9840000000E+00    2.3791231494E+03   -2.7870902972E-71    0.0000000000E+00    7.7678723248-142   -2.7870902972E-71    6.0743327208E-73
   -6.9760000000E+00    2.3682409573E+03   -4.8404348039E-71    0.0000000000E+00    2.3429809091-141   -4.8404348039E-71    1.0487321173E-72
   -6.9680000000E+00    2.3573961395E+03   -8.3959721248E-71    0.0000000000E+00    7.0492347921-141   -8.3959721248E-71    1.8083390241E-72
   -6.9600000000E+00    2.3465886106E+03   -1.4544925383E-70    0.0000000000E+00    2.1155485438-140   -1.4544925383E-70    3.1141895699E-72
   -6.9520000000E+00    2.3358182847E+03   -2.5165555581E-70    0.0000000000E+00    6.3330518772-140   -2.5165555581E-70    5.3562489394E-72
   -6.9440000000E+00    2.3250850766E+03   -4.3486723071E-70    0.0000000000E+00    1.8910950834-139   -4.3486723071E-70    9.2008423175E-72
   -6.9360000000E+00    2.3143889007E+03   -7.5052056498E-70    0.0000000000E+00    5.6328111846-139   -7.5052056498E-70    1.5785057228E-71
   -6.9280000000E+00    2.3037296719E+03   -1.2936741026E-69    0.0000000000E+00    1.6735926838-138   -1.2936741026E-69    2.7046874319E-71
   -6.9200000000E+00    2.2931073050E+03   -2.2271228036E-69    0.0000000000E+00    4.9600759822-138   -2.2271228036E-69    4.6285074348E-71
   -6.9120000000E+00    2.2825217148E+03   -3.8293146873E-69    0.0000000000E+00    1.4663650974-137   -3.8293146873E-69    7.9107638478E-71
   -6.9040000000E+00    2.2719728163E+03   -6.5759148695E-69    0.0000000000E+00    4.3242656372-137   -6.5759148695E-69    1.3503615320E-70
   -6.8960000000E+00    2.2614605248E+03   -1.1278469224E-68    0.0000000000E+00    1.2720386803-136   -1.1278469224E-68    2.3021652251E-70
   -6.8880000000E+00    2.2509847554E+03   -1.9319843620E-68    0.0000000000E+00    3.7325635750-136   -1.9319843620E-68    3.9199301390E-70
   -6.8800000000E+00    2.2405454234E+03   -3.3053476628E-68    0.0000000000E+00    1.0925323172-135   -3.3053476628E-68    6.6661668852E-70
   -6.8720000000E+00    2.2301424442E+03   -5.6479571973E-68    0.0000000000E+00    3.1899420503-135   -5.6479571973E-68    1.1322195911E-69
   -6.8640000000E+00    2.2197757333E+03   -9.6388889932E-68    0.0000000000E+00    9.2908181024-135   -9.6388889932E-68    1.9206241660E-69
   -6.8560000000E+00    2.2094452064E+03   -1.6429506255E-67    0.0000000000E+00    2.6992867579-134   -1.6429506255E-67    3.2539581607E-69
   -6.8480000000E+00    2.1991507792E+03   -2.7969494479E-67    0.0000000000E+00    7.8229262143-134   -2.7969494479E-67    5.5060481304E-69
   -6.8400000000E+00    2.1888923674E+03   -4.7556284201E-67    0.0000000000E+00    2.2616001670-133   -4.7556284201E-67    9.3052301131E-69
   -6.8320000000E+00    2.1786698869E+03   -8.0759760575E-67    0.0000000000E+00    6.5221389282-133   -8.0759760575E-67    1.5706301081E-68
   -6.8240000000E+00    2.1684832538E+03   -1.3697665748E-66    0.0000000000E+00    1.8762604695-132   -1.3697665748E-66    2.6477746382E-68
   -6.8160000000E+00    2.1583323841E+03   -2.3204016144E-66    0.0000000000E+00    5.3842636523-132   -2.3204016144E-66    4.4580920142E-68
   -6.8080000000E+00    2.1482171941E+03   -3.9259559940E-66    0.0000000000E+00    1.5413130467-131   -3.9259559940E-66    7.4968454947E-68
   -6.8000000000E+00    2.1381376000E+03   -6.6342829476E-66    0.0000000000E+00    4.4013710229-131   -6.6342829476E-66    1.2591290013E-67
   -6.7920000000E+00    2.1280935182E+03   -1.1197200829E-65    0.0000000000E+00    1.2537730641-130   -1.1197200829E-65    2.1121494284E-67
   -6.7840000000E+00    2.1180848653E+03   -1.8875239946E-65    0.0000000000E+00    3.5627468302-130   -1.8875239946E-65    3.5386891235E-67
   -6.7760000000E+00    2.1081115578E+03   -3.1779250581E-65    0.0000000000E+00    1.0099207675-129   -3.1779250581E-65    5.9213966373E-67
   -6.7680000000E+00    2.0981735123E+03   -5.3439649302E-65    0.0000000000E+00    2.8557961175-129   -5.3439649302E-65    9.8962458687E-67
   -6.7600000000E+00    2.0882706458E+03   -8.9753820929E-65    0.0000000000E+00    8.0557483714-129   -8.9753820929E-65    1.6518933130E-66
   -6.7520000000E+00    2.0784028750E+03   -1.5056093828E-64    0.0000000000E+00    2.2668596137-128   -1.5056093828E-64    2.7539707314E-66
   -6.7440000000E+00    2.0685701169E+03   -2.5225647349E-64    0.0000000000E+00    6.3633328419-128   -2.5225647349E-64    4.5856728117E-66
   -6.7360000000E+00    2.0587722887E+03   -4.2212744566E-64    0.0000000000E+00    1.7819158038-127   -4.2212744566E-64    7.6262992029E-66
   -6.7280000000E+00    2.0490093075E+03   -7.0553204352E-64    0.0000000000E+00    4.9777546444-127   -7.0553204352E-64    1.2667539259E-65
   -6.7200000000E+00    2.0392810906E+03   -1.1777751895E-63    0.0000000000E+00    1.3871543969-126   -1.1777751895E-63    2.1015461607E-65
   -6.7120000000E+00    2.0295875553E+03   -1.9637273378E-63    0.0000000000E+00    3.8562250571-126   -1.9637273378E-63    3.4822061395E-65
   -6.7040000000E+00    2.0199286192E+03   -3.2701955171E-63    0.0000000000E+00    1.0694178720-125   -3.2701955171E-63    5.7628789957E-65
   -6.6960000000E+00    2.0103041997E+03   -5.4392700486E-63    0.0000000000E+00    2.9585658661-125   -5.4392700486E-63    9.5256499442E-65
   -6.6880000000E+00    2.0007142147E+03   -9.0361309245E-63    0.0000000000E+00    8.1651662084-125   -9.0361309245E-63    1.5726078540E-64
   -6.6800000000E+00    1.9911585818E+03   -1.4993396341E-62    0.0000000000E+00    2.2480193383-124   -1.4993396341E-62    2.5930899449E-64
   -6.6720000000E+00    1.9816372189E+03   -2.4848133000E-62    0.0000000000E+00    6.1742971359-124   -2.4848133000E-62    4.2705779438E-64
   -6.6640000000E+00    1.9721500439E+03   -4.1130535254E-62    0.0000000000E+00    1.6917209303-123   -4.1130535254E-62    7.0247078594E-64
   -6.6560000000E+00    1.9626969751E+03   -6.8000552022E-62    0.0000000000E+00    4.6240750752-123   -6.8000552022E-62    1.1540989308E-63
   -6.6480000000E+00    1.9532779304E+03   -1.1228936246E-61    0.0000000000E+00    1.2608900922-122   -1.1228936246E-61    1.8937889507E-63
   -6.6400000000E+00    1.9438928282E+03   -1.8520108077E-61    0.0000000000E+00    3.4299440318-122   -1.8520108077E-61    3.1038055075E-63
   -6.6320000000E+00    1.9345415868E+03   -3.0508985216E-61    0.0000000000E+00    9.3079817891-122   -3.0508985216E-61    5.0808036842E-63
   -6.6240000000E+00    1.9252241246E+03   -5.0198642800E-61    0.0000000000E+00    2.5199037390-121   -5.0198642800E-61    8.3070330205E-63
   -6.6160000000E+00    1.9159403604E+03   -8.2496738303E-61    0.0000000000E+00    6.8057118307-121   -8.2496738303E-61    1.3565496032E-62
   -6.6080000000E+00    1.9066902126E+03   -1.3541375858E-60    0.0000000000E+00    1.8336886012-120   -1.3541375858E-60    2.2125966633E-62
   -6.6000000000E+00    1.8974736000E+03   -2.2200903118E-60    0.0000000000E+00    4.9288009926-120   -2.2200903118E-60    3.6045103179E-62
   -6.5920000000E+00    1.8882904415E+03   -3.6354732006E-60    0.0000000000E+00    1.3216665392-119   -3.6354732006E-60    5.8650045216E-62
   -6.5840000000E+00    1.8791406561E+03   -5.9461290826E-60    0.0000000000E+00    3.5356451067-119   -5.9461290826E-60    9.5316722551E-62
   -6.5760000000E+00    1.8700241627E+03   -9.7138506173E-60    0.0000000000E+00    9.4358893814-119   -9.7138506173E-60    1.5472095399E-61
   -6.5680000000E+00    1.8609408806E+03   -1.5850130156E-59    0.0000000000E+00    2.5122662595-118   -1.5850130156E-59    2.5084708899E-61
   -6.5600000000E+00    1.8518907290E+03   -2.5832069046E-59    0.0000000000E+00    6.6729579121-118   -2.5832069046E-59    4.0620896756E-61
