# Quartic Well - state n = 3
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   7.3357301E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.6640000000E+00    3.4500229517E+03   -7.9250674564E-92    0.0000000000E+00    6.2806694188-183   -7.9250674564E-92    8.9003962059E-94
   -7.6560000000E+00    3.4356403847E+03   -1.5388014928E-91    0.0000000000E+00    2.3679100344-182   -1.5388014928E-91    1.7192077582E-93
   -7.6480000000E+00    3.4213028335E+03   -2.9837516724E-91    0.0000000000E+00    8.9027740427-182   -2.9837516724E-91    3.3162282875E-93
   -7.6400000000E+00    3.4070102042E+03   -5.7775512276E-91    0.0000000000E+00    3.3380098187-181   -5.7775512276E-91    6.3879000640E-93
   -7.6320000000E+00    3.3927624026E+03   -1.1171888572E-90    0.0000000000E+00    1.2481109427-180   -1.1171888572E-90    1.2287684306E-92
   -7.6240000000E+00    3.3785593351E+03   -2.1573055221E-90    0.0000000000E+00    4.6539671158-180   -2.1573055221E-90    2.3603739707E-92
   -7.6160000000E+00    3.3644009079E+03   -4.1600599806E-90    0.0000000000E+00    1.7306099042-179   -4.1600599806E-90    4.5278395693E-92
   -7.6080000000E+00    3.3502870274E+03   -8.0110790216E-90    0.0000000000E+00    6.4177387091-179   -8.0110790216E-90    8.6736379119E-92
   -7.6000000000E+00    3.3362176000E+03   -1.5405880805E-89    0.0000000000E+00    2.3734116339-178   -1.5405880805E-89    1.6592513973E-91
   -7.5920000000E+00    3.3221925323E+03   -2.9586034163E-89    0.0000000000E+00    8.7533341751-178   -2.9586034163E-89    3.1697451372E-91
   -7.5840000000E+00    3.3082117309E+03   -5.6740386190E-89    0.0000000000E+00    3.2194714250-177   -5.6740386190E-89    6.0469774237E-91
   -7.5760000000E+00    3.2942751026E+03   -1.0866851726E-88    0.0000000000E+00    1.1808846644-176   -1.0866851726E-88    1.1520061651E-90
   -7.5680000000E+00    3.2803825543E+03   -2.0783645457E-88    0.0000000000E+00    4.3195991846-176   -2.0783645457E-88    2.1916657212E-90
   -7.5600000000E+00    3.2665339930E+03   -3.9696009271E-88    0.0000000000E+00    1.5757731520-175   -3.9696009271E-88    4.1638731000E-90
   -7.5520000000E+00    3.2527293256E+03   -7.5714615270E-88    0.0000000000E+00    5.7327029654-175   -7.5714615270E-88    7.8999604418E-90
   -7.5440000000E+00    3.2389684593E+03   -1.4421849173E-87    0.0000000000E+00    2.0798973358-174   -1.4421849173E-87    1.4967773822E-89
   -7.5360000000E+00    3.2252513014E+03   -2.7432863725E-87    0.0000000000E+00    7.5256201215-174   -2.7432863725E-87    2.8320112493E-89
   -7.5280000000E+00    3.2115777592E+03   -5.2111181505E-87    0.0000000000E+00    2.7155752378-173   -5.2111181505E-87    5.3510475021E-89
   -7.5200000000E+00    3.1979477402E+03   -9.8855509903E-87    0.0000000000E+00    9.7724118381-173   -9.8855509903E-87    1.0096929213E-88
