# Quartic Well - state n = 2
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   4.6967954E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.7040000000E+00    3.5226143218E+03    6.9865129108E-94    0.0000000000E+00    4.8811362653-187    6.9865129108E-94    2.9194680815E-95
   -7.6960000000E+00    3.5080052619E+03    1.3663300451E-93    0.0000000000E+00    1.8668577922-186    1.3663300451E-93    5.6801147239E-95
   -7.6880000000E+00    3.4934416894E+03    2.6683844854E-93    0.0000000000E+00    7.1202757617-186    2.6683844854E-93    1.1035823617E-94
   -7.6800000000E+00    3.4789235098E+03    5.2040257803E-93    0.0000000000E+00    2.7081884322-185    5.2040257803E-93    2.1411508368E-94
   -7.6720000000E+00    3.4644506287E+03    1.0135130007E-92    0.0000000000E+00    1.0272086026-184    1.0135130007E-92    4.1484441373E-94
   -7.6640000000E+00    3.4500229517E+03    1.9711454362E-92    0.0000000000E+00    3.8854143308-184    1.9711454362E-92    8.0263723424E-94
   -7.6560000000E+00    3.4356403847E+03    3.8283186799E-92    0.0000000000E+00    1.4656023915-183    3.8283186799E-92    1.5507794396E-93
   -7.6480000000E+00    3.4213028335E+03    7.4250293277E-92    0.0000000000E+00    5.5131060518-183    7.4250293277E-92    2.9921133631E-93
   -7.6400000000E+00    3.4070102042E+03    1.4381015361E-91    0.0000000000E+00    2.0681360282-182    1.4381015361E-91    5.7650613465E-93
   -7.6320000000E+00    3.3927624026E+03    2.7815240646E-91    0.0000000000E+00    7.7368761218-182    2.7815240646E-91    1.1092471072E-92
   -7.6240000000E+00    3.3785593351E+03    5.3725268750E-91    0.0000000000E+00    2.8864045023-181    5.3725268750E-91    2.1313352199E-92
   -7.6160000000E+00    3.3644009079E+03    1.0362808777E-90    0.0000000000E+00    1.0738780574-180    1.0362808777E-90    4.0895441990E-92
   -7.6080000000E+00    3.3502870274E+03    1.9960898837E-90    0.0000000000E+00    3.9843748237-180    1.9960898837E-90    7.8360706274E-92
   -7.6000000000E+00    3.3362176000E+03    3.8396092921E-90    0.0000000000E+00    1.4742599516-179    3.8396092921E-90    1.4994178293E-91
   -7.5920000000E+00    3.3221925323E+03    7.3756264805E-90    0.0000000000E+00    5.4399865979-179    7.3756264805E-90    2.8651574725E-91
   -7.5840000000E+00    3.3082117309E+03    1.4148693730E-89    0.0000000000E+00    2.0018553427-178    1.4148693730E-89    5.4673442722E-91
   -7.5760000000E+00    3.2942751026E+03    2.7104408633E-89    0.0000000000E+00    7.3464896736-178    2.7104408633E-89    1.0418544482E-90
   -7.5680000000E+00    3.2803825543E+03    5.1852571162E-89    0.0000000000E+00    2.6886891361-177    5.1852571162E-89    1.9826268587E-90
   -7.5600000000E+00    3.2665339930E+03    9.9062215240E-89    0.0000000000E+00    9.8133224883-177    9.9062215240E-89    3.7677218189E-90
   -7.5520000000E+00    3.2527293256E+03    1.8899650113E-88    0.0000000000E+00    3.5719677438-176    1.8899650113E-88    7.1502493724E-90
   -7.5440000000E+00    3.2389684593E+03    3.6008753882E-88    0.0000000000E+00    1.2966303561-175    3.6008753882E-88    1.3550916340E-89
   -7.5360000000E+00    3.2252513014E+03    6.8512786398E-88    0.0000000000E+00    4.6940019000-175    6.8512786398E-88    2.5646131249E-89
   -7.5280000000E+00    3.2115777592E+03    1.3018021631E-87    0.0000000000E+00    1.6946888718-174    1.3018021631E-87    4.8470933265E-89
   -7.5200000000E+00    3.1979477402E+03    2.4701810056E-87    0.0000000000E+00    6.1017942005-174    2.4701810056E-87    9.1484565924E-89
   -7.5120000000E+00    3.1843611519E+03    4.6808379736E-87    0.0000000000E+00    2.1910244135-173    4.6808379736E-87    1.7243356797E-88
   -7.5040000000E+00    3.1708179019E+03    8.8578860880E-87    0.0000000000E+00    7.8462145948-173    8.8578860880E-87    3.2456668103E-88
   -7.4960000000E+00    3.1573178981E+03    1.6739744947E-86    0.0000000000E+00    2.8021906089-172    1.6739744947E-86    6.1009124904E-88
   -7.4880000000E+00    3.1438610482E+03    3.1592242643E-86    0.0000000000E+00    9.9806979520-172    3.1592242643E-86    1.1452360290E-87
   -7.4800000000E+00    3.1304472602E+03    5.9542293775E-86    0.0000000000E+00    3.5452847480-171    5.9542293775E-86    2.1468670934E-87
   -7.4720000000E+00    3.1170764421E+03    1.1206881051E-85    0.0000000000E+00    1.2559418289-170    1.1206881051E-85    4.0190727808E-87
   -7.4640000000E+00    3.1037485020E+03    2.1064864571E-85    0.0000000000E+00    4.4372851939-170    2.1064864571E-85    7.5137673128E-87
   -7.4560000000E+00    3.0904633482E+03    3.9541022849E-85    0.0000000000E+00    1.5634924880-169    3.9541022849E-85    1.4028181508E-86
   -7.4480000000E+00    3.0772208891E+03    7.4123011959E-85    0.0000000000E+00    5.4942209019-169    7.4123011959E-85    2.6155159948E-86
   -7.4400000000E+00    3.0640210330E+03    1.3876334483E-84    0.0000000000E+00    1.9255265868-168    1.3876334483E-84    4.8699708060E-86
   -7.4320000000E+00    3.0508636884E+03    2.5942606926E-84    0.0000000000E+00    6.7301885413-168    2.5942606926E-84    9.0554265874E-86
   -7.4240000000E+00    3.0377487641E+03    4.8436219347E-84    0.0000000000E+00    2.3460673446-167    4.8436219347E-84    1.6815340051E-85
   -7.4160000000E+00    3.0246761687E+03    9.0311953686E-84    0.0000000000E+00    8.1562489786-167    9.0311953686E-84    3.1182948948E-85
   -7.4080000000E+00    3.0116458110E+03    1.6816640022E-83    0.0000000000E+00    2.8279938162-166    1.6816640022E-83    5.7748952024E-85
   -7.4000000000E+00    2.9986576000E+03    3.1271795744E-83    0.0000000000E+00    9.7792520904-166    3.1271795744E-83    1.0680388020E-84
   -7.3920000000E+00    2.9857114447E+03    5.8074653703E-83    0.0000000000E+00    3.3726654027-165    5.8074653703E-83    1.9726342065E-84
   -7.3840000000E+00    2.9728072542E+03    1.0770633901E-82    0.0000000000E+00    1.1600655463-164    1.0770633901E-82    3.6385077079E-84
   -7.3760000000E+00    2.9599449377E+03    1.9948825885E-82    0.0000000000E+00    3.9795565417-164    1.9948825885E-82    6.7022072807E-84
   -7.3680000000E+00    2.9471244046E+03    3.6899074047E-82    0.0000000000E+00    1.3615416655-163    3.6899074047E-82    1.2329084619E-83
   -7.3600000000E+00    2.9343455642E+03    6.8161048400E-82    0.0000000000E+00    4.6459285190-163    6.8161048400E-82    2.2649720093E-83
   -7.3520000000E+00    2.9216083260E+03    1.2574199138E-81    0.0000000000E+00    1.5811048395-162    1.2574199138E-81    4.1554157276E-83
   -7.3440000000E+00    2.9089125998E+03    2.3165853078E-81    0.0000000000E+00    5.3665674883-162    2.3165853078E-81    7.6135351797E-83
   -7.3360000000E+00    2.8962582951E+03    4.2622681212E-81    0.0000000000E+00    1.8166929537-161    4.2622681212E-81    1.3930897099E-82
   -7.3280000000E+00    2.8836453218E+03    7.8317416348E-81    0.0000000000E+00    6.1336177034-161    7.8317416348E-81    2.5456181674E-82
   -7.3200000000E+00    2.8710735898E+03    1.4371485764E-80    0.0000000000E+00    2.0653960305-160    1.4371485764E-80    4.6454682630E-82
   -7.3120000000E+00    2.8585430090E+03    2.6337304852E-80    0.0000000000E+00    6.9365362689-160    2.6337304852E-80    8.4661975398E-82
   -7.3040000000E+00    2.8460534897E+03    4.8202320993E-80    0.0000000000E+00    2.3234637491-159    4.8202320993E-80    1.5408862101E-81
