# Quartic Well - state n = 5
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   1.3379337E+01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.6560000000E+00    3.4356403847E+03    2.2374018055E-90    0.0000000000E+00    5.0059668393-180    2.2374018055E-90    1.9893212052E-92
   -7.6480000000E+00    3.4213028335E+03    4.3358270291E-90    0.0000000000E+00    1.8799396027-179    4.3358270291E-90    3.8349915176E-92
   -7.6400000000E+00    3.4070102042E+03    8.3907432295E-90    0.0000000000E+00    7.0404571943-179    8.3907432295E-90    7.3827979159E-92
   -7.6320000000E+00    3.3927624026E+03    1.6215488589E-89    0.0000000000E+00    2.6294207019-178    1.6215488589E-89    1.4193033627E-91
   -7.6240000000E+00    3.3785593351E+03    3.1294021619E-89    0.0000000000E+00    9.7931578910-178    3.1294021619E-89    2.7247568936E-91
   -7.6160000000E+00    3.3644009079E+03    6.0310795346E-89    0.0000000000E+00    3.6373920353-177    6.0310795346E-89    5.2237112912E-91
   -7.6080000000E+00    3.3502870274E+03    1.1607312533E-88    0.0000000000E+00    1.3472970424-176    1.1607312533E-88    1.0000691945E-90
   -7.6000000000E+00    3.3362176000E+03    2.2308576164E-88    0.0000000000E+00    4.9767257046-176    2.2308576164E-88    1.9119697274E-90
   -7.5920000000E+00    3.3221925323E+03    4.2816995142E-88    0.0000000000E+00    1.8332950730-175    4.2816995142E-88    3.6503344095E-90
   -7.5840000000E+00    3.3082117309E+03    8.2066381490E-88    0.0000000000E+00    6.7348909709-175    8.2066381490E-88    6.9596207118E-90
   -7.5760000000E+00    3.2942751026E+03    1.5707958927E-87    0.0000000000E+00    2.4673997366-174    1.5707958927E-87    1.3250747282E-89
   -7.5680000000E+00    3.2803825543E+03    3.0024805993E-87    0.0000000000E+00    9.0148897489-174    3.0024805993E-87    2.5194030502E-89
   -7.5600000000E+00    3.2665339930E+03    5.7312222565E-87    0.0000000000E+00    3.2846908553-173    5.7312222565E-87    4.7836347442E-89
   -7.5520000000E+00    3.2527293256E+03    1.0925001043E-86    0.0000000000E+00    1.1935564780-172    1.0925001043E-86    9.0703084107E-89
   -7.5440000000E+00    3.2389684593E+03    2.0797135759E-86    0.0000000000E+00    4.3252085578-172    2.0797135759E-86    1.7174748255E-88
   -7.5360000000E+00    3.2252513014E+03    3.9536113748E-86    0.0000000000E+00    1.5631042903-171    3.9536113748E-86    3.2476079030E-88
   -7.5280000000E+00    3.2115777592E+03    7.5057388067E-86    0.0000000000E+00    5.6336115035-171    7.5057388067E-86    6.1325667546E-88
   -7.5200000000E+00    3.1979477402E+03    1.4229922800E-85    0.0000000000E+00    2.0249070290-170    1.4229922800E-85    1.1564505456E-87
   -7.5120000000E+00    3.1843611519E+03    2.6941506443E-85    0.0000000000E+00    7.2584476941-170    2.6941506443E-85    2.1778027106E-87
   -7.5040000000E+00    3.1708179019E+03    5.0939191890E-85    0.0000000000E+00    2.5948012704-169    5.0939191890E-85    4.0955977118E-87
   -7.4960000000E+00    3.1573178981E+03    9.6181972158E-85    0.0000000000E+00    9.2509717682-169    9.6181972158E-85    7.6917283861E-87
   -7.4880000000E+00    3.1438610482E+03    1.8136244616E-84    0.0000000000E+00    3.2892336878-168    1.8136244616E-84    1.4425772536E-86
   -7.4800000000E+00    3.1304472602E+03    3.4151809594E-84    0.0000000000E+00    1.1663460986-167    3.4151809594E-84    2.7018629366E-86
   -7.4720000000E+00    3.1170764421E+03    6.4223408883E-84    0.0000000000E+00    4.1246462486-167    6.4223408883E-84    5.0535578666E-86
   -7.4640000000E+00    3.1037485020E+03    1.2061098736E-83    0.0000000000E+00    1.4547010271-166    1.2061098736E-83    9.4393365221E-86
   -7.4560000000E+00    3.0904633482E+03    2.2620119083E-83    0.0000000000E+00    5.1166978731-166    2.2620119083E-83    1.7607455314E-85
   -7.4480000000E+00    3.0772208891E+03    4.2366052990E-83    0.0000000000E+00    1.7948824460-165    4.2366052990E-83    3.2799197756E-85
   -7.4400000000E+00    3.0640210330E+03    7.9242256919E-83    0.0000000000E+00    6.2793352816-165    7.9242256919E-83    6.1015749565E-85
   -7.4320000000E+00    3.0508636884E+03    1.4801713361E-82    0.0000000000E+00    2.1909071843-164    1.4801713361E-82    1.1335309576E-84
   -7.4240000000E+00    3.0377487641E+03    2.7611123259E-82    0.0000000000E+00    7.6237412760-164    2.7611123259E-82    2.1029944551E-84
   -7.4160000000E+00    3.0246761687E+03    5.1436771367E-82    0.0000000000E+00    2.6457414486-163    5.1436771367E-82    3.8963393925E-84
   -7.4080000000E+00    3.0116458110E+03    9.5693287931E-82    0.0000000000E+00    9.1572053551-163    9.5693287931E-82    7.2092476233E-84
   -7.4000000000E+00    2.9986576000E+03    1.7779027962E-81    0.0000000000E+00    3.1609383529-162    1.7779027962E-81    1.3321042717E-83
   -7.3920000000E+00    2.9857114447E+03    3.2987842990E-81    0.0000000000E+00    1.0881977852-161    3.2987842990E-81    2.4581151071E-83
   -7.3840000000E+00    2.9728072542E+03    6.1125131167E-81    0.0000000000E+00    3.7362816602-161    6.1125131167E-81    4.5298365356E-83
   -7.3760000000E+00    2.9599449377E+03    1.1311137418E-80    0.0000000000E+00    1.2794182969-160    1.1311137418E-80    8.3364234530E-83
   -7.3680000000E+00    2.9471244046E+03    2.0903256630E-80    0.0000000000E+00    4.3694613775-160    2.0903256630E-80    1.5321261602E-82
   -7.3600000000E+00    2.9343455642E+03    3.8578331054E-80    0.0000000000E+00    1.4882876269-159    3.8578331054E-80    2.8120783498E-82
   -7.3520000000E+00    2.9216083260E+03    7.1104213713E-80    0.0000000000E+00    5.0558092078-159    7.1104213713E-80    5.1544108912E-82
   -7.3440000000E+00    2.9089125998E+03    1.3087909120E-79    0.0000000000E+00    1.7129336513-158    1.3087909120E-79    9.4351756265E-82
   -7.3360000000E+00    2.8962582951E+03    2.4058516439E-79    0.0000000000E+00    5.7881221325-158    2.4058516439E-79    1.7248084747E-81
   -7.3280000000E+00    2.8836453218E+03    4.4166365920E-79    0.0000000000E+00    1.9506678786-157    4.4166365920E-79    3.1488524124E-81
   -7.3200000000E+00    2.8710735898E+03    8.0972836026E-79    0.0000000000E+00    6.5566001741-157    8.0972836026E-79    5.7409646974E-81
   -7.3120000000E+00    2.8585430090E+03    1.4825607777E-78    0.0000000000E+00    2.1979864597-156    1.4825607777E-78    1.0452957693E-80
   -7.3040000000E+00    2.8460534897E+03    2.7108890585E-78    0.0000000000E+00    7.3489194873-156    2.7108890585E-78    1.9007099924E-80
   -7.2960000000E+00    2.8336049420E+03    4.9503701843E-78    0.0000000000E+00    2.4506164961-155    4.9503701843E-78    3.4515603817E-80
   -7.2880000000E+00    2.8211972761E+03    9.0279867303E-78    0.0000000000E+00    8.1504544403-155    9.0279867303E-78    6.2594856539E-80
   -7.2800000000E+00    2.8088304026E+03    1.6442659485E-77    0.0000000000E+00    2.7036105094-154    1.6442659485E-77    1.1336682414E-79
   -7.2720000000E+00    2.7965042318E+03    2.9907612161E-77    0.0000000000E+00    8.9446526516-154    2.9907612161E-77    2.0504919804E-79
   -7.2640000000E+00    2.7842186744E+03    5.4327604351E-77    0.0000000000E+00    2.9514885946-153    5.4327604351E-77    3.7038682988E-79
   -7.2560000000E+00    2.7719736410E+03    9.8557372725E-77    0.0000000000E+00    9.7135557185-153    9.8557372725E-77    6.6815768220E-79
   -7.2480000000E+00    2.7597690425E+03    1.7856158860E-76    0.0000000000E+00    3.1884240922-152    1.7856158860E-76    1.2037296825E-78
   -7.2400000000E+00    2.7476047898E+03    3.2308584832E-76    0.0000000000E+00    1.0438446538-151    3.2308584832E-76    2.1657391667E-78
   -7.2320000000E+00    2.7354807937E+03    5.8382059765E-76    0.0000000000E+00    3.4084649024-151    5.8382059765E-76    3.8914469329E-78
   -7.2240000000E+00    2.7233969655E+03    1.0535935063E-75    0.0000000000E+00    1.1100592765-150    1.0535935063E-75    6.9830388604E-78
   -7.2160000000E+00    2.7113532163E+03    1.8988889336E-75    0.0000000000E+00    3.6057791823-150    1.8988889336E-75    1.2514306687E-77
   -7.2080000000E+00    2.6993494573E+03    3.4179008473E-75    0.0000000000E+00    1.1682046202-149    3.4179008473E-75    2.2397457528E-77
   -7.2000000000E+00    2.6873856000E+03    6.1440308239E-75    0.0000000000E+00    3.7749114765-149    6.1440308239E-75    4.0033249760E-77
   -7.1920000000E+00    2.6754615558E+03    1.1030163592E-74    0.0000000000E+00    1.2166450887-148    1.1030163592E-74    7.1461770370E-77
   -7.1840000000E+00    2.6635772363E+03    1.9776333409E-74    0.0000000000E+00    3.9110336310-148    1.9776333409E-74    1.2739667724E-76
   -7.1760000000E+00    2.6517325532E+03    3.5411592887E-74    0.0000000000E+00    1.2539809108-147    3.5411592887E-74    2.2681639298E-76
   -7.1680000000E+00    2.6399274183E+03    6.3325937522E-74    0.0000000000E+00    4.0101743631-147    6.3325937522E-74    4.0329551437E-76
   -7.1600000000E+00    2.6281617434E+03    1.1309798927E-73    0.0000000000E+00    1.2791155178-146    1.1309798927E-73    7.1615258033E-76
   -7.1520000000E+00    2.6164354404E+03    2.0172784177E-73    0.0000000000E+00    4.0694122146-146    2.0172784177E-73    1.2700521448E-75
   -7.1440000000E+00    2.6047484215E+03    3.5934790353E-73    0.0000000000E+00    1.2913091577-145    3.5934790353E-73    2.2494273413E-75
   -7.1360000000E+00    2.5931005989E+03    6.3929795662E-73    0.0000000000E+00    4.0870187734-145    6.3929795662E-73    3.9788486317E-75
   -7.1280000000E+00    2.5814918847E+03    1.1358763499E-72    0.0000000000E+00    1.2902150822-144    1.1358763499E-72    7.0287565369E-75
   -7.1200000000E+00    2.5699221914E+03    2.0155749432E-72    0.0000000000E+00    4.0625423515-144    2.0155749432E-72    1.2400403667E-74
   -7.1120000000E+00    2.5583914313E+03    3.5719684126E-72    0.0000000000E+00    1.2758958340-143    3.5719684126E-72    2.1848920750E-74
   -7.1040000000E+00    2.5468995172E+03    6.3220459324E-72    0.0000000000E+00    3.9968264772-143    6.3220459324E-72    3.8446924482E-74
   -7.0960000000E+00    2.5354463615E+03    1.1175055149E-71    0.0000000000E+00    1.2488185759-142    1.1175055149E-71    6.7566476739E-74
   -7.0880000000E+00    2.5240318772E+03    1.9728056691E-71    0.0000000000E+00    3.8919622080-142    1.9728056691E-71    1.1858768736E-73
   -7.0800000000E+00    2.5126559770E+03    3.4782609133E-71    0.0000000000E+00    1.2098298981-141    3.4782609133E-71    2.0786778533E-73
   -7.0720000000E+00    2.5013185738E+03    6.1246861054E-71    0.0000000000E+00    3.7511779890-141    6.1246861054E-71    3.6389379130E-73
   -7.0640000000E+00    2.4900195808E+03    1.0770849515E-70    0.0000000000E+00    1.1601119928-140    1.0770849515E-70    6.3621305258E-73
   -7.0560000000E+00    2.4787589111E+03    1.8917386507E-70    0.0000000000E+00    3.5786751225-140    1.8917386507E-70    1.1108913397E-72
   -7.0480000000E+00    2.4675364779E+03    3.3183178699E-70    0.0000000000E+00    1.1011233486-139    3.3183178699E-70    1.9372348329E-72
   -7.0400000000E+00    2.4563521946E+03    5.8132783418E-70    0.0000000000E+00    3.3794205079-139    5.8132783418E-70    3.3739236041E-72
   -7.0320000000E+00    2.4452059746E+03    1.0171175453E-69    0.0000000000E+00    1.0345281010-138    1.0171175453E-69    5.8685540896E-72
   -7.0240000000E+00    2.4340977314E+03    1.7773325080E-69    0.0000000000E+00    3.1589108441-138    1.7773325080E-69    1.0194606703E-71
   -7.0160000000E+00    2.4230273788E+03    3.1018039619E-69    0.0000000000E+00    9.6211878180-138    3.1018039619E-69    1.7686990472E-71
   -7.0080000000E+00    2.4119948303E+03    5.4064071105E-69    0.0000000000E+00    2.9229237844-137    5.4064071105E-69    3.0646586941E-71
   -7.0000000000E+00    2.4010000000E+03    9.4113623752E-69    0.0000000000E+00    8.8573741757-137    9.4113623752E-69    5.3034148464E-71
   -6.9920000000E+00    2.3900428017E+03    1.6362370063E-68    0.0000000000E+00    2.6772715408-136    1.6362370063E-68    9.1658976294E-71
   -6.9840000000E+00    2.3791231494E+03    2.8411260636E-68    0.0000000000E+00    8.0719973095-136    2.8411260636E-68    1.5821254888E-70
   -6.9760000000E+00    2.3682409573E+03    4.9270388892E-68    0.0000000000E+00    2.4275712216-135    4.9270388892E-68    2.7274323020E-70
   -6.9680000000E+00    2.3573961395E+03    8.5336196586E-68    0.0000000000E+00    7.2822664478-135    8.5336196586E-68    4.6958559387E-70
   -6.9600000000E+00    2.3465886106E+03    1.4761585128E-67    0.0000000000E+00    2.1790439548-134    1.4761585128E-67    8.0746533778E-70
   -6.9520000000E+00    2.3358182847E+03    2.5502675373E-67    0.0000000000E+00    6.5038645116-134    2.5502675373E-67    1.3866982106E-69
   -6.9440000000E+00    2.3250850766E+03    4.4003998255E-67    0.0000000000E+00    1.9363518624-133    4.4003998255E-67    2.3784255993E-69
   -6.9360000000E+00    2.3143889007E+03    7.5832050198E-67    0.0000000000E+00    5.7504998373-133    7.5832050198E-67    4.0742468655E-69
   -6.9280000000E+00    2.3037296719E+03    1.3051737600E-66    0.0000000000E+00    1.7034785439-132    1.3051737600E-66    6.9703705963E-69
   -6.9200000000E+00    2.2931073050E+03    2.2435686433E-66    0.0000000000E+00    5.0336002571-132    2.2435686433E-66    1.1910109730E-68
   -6.9120000000E+00    2.2825217148E+03    3.8518245348E-66    0.0000000000E+00    1.4836552247-131    3.8518245348E-66    2.0324862990E-68
   -6.9040000000E+00    2.2719728163E+03    6.6046582289E-66    0.0000000000E+00    4.3621510320-131    6.6046582289E-66    3.4641131274E-68
   -6.8960000000E+00    2.2614605248E+03    1.1310753506E-65    0.0000000000E+00    1.2793314487-130    1.1310753506E-65    5.8967088779E-68
   -6.8880000000E+00    2.2509847554E+03    1.9345977407E-65    0.0000000000E+00    3.7426684183-130    1.9345977407E-65    1.0024924129E-67
   -6.8800000000E+00    2.2405454234E+03    3.3048243255E-65    0.0000000000E+00    1.0921863822-129    3.3048243255E-65    1.7021855286E-67
   -6.8720000000E+00    2.2301424442E+03    5.6385217473E-65    0.0000000000E+00    3.1792927495-129    5.6385217473E-65    2.8866072043E-67
   -6.8640000000E+00    2.2197757333E+03    9.6081977861E-65    0.0000000000E+00    9.2317464697-129    9.6081977861E-65    4.8890456412E-67
   -6.8560000000E+00    2.2094452064E+03    1.6352306453E-64    0.0000000000E+00    2.6739792635-128    1.6352306453E-64    8.2702131110E-67
   -6.8480000000E+00    2.1991507792E+03    2.7795668512E-64    0.0000000000E+00    7.7259918800-128    2.7795668512E-64    1.3972242817E-66
   -6.8400000000E+00    2.1888923674E+03    4.7188575567E-64    0.0000000000E+00    2.2267616641-127    4.7188575567E-64    2.3576154453E-66
   -6.8320000000E+00    2.1786698869E+03    8.0012688849E-64    0.0000000000E+00    6.4020303768-127    8.0012688849E-64    3.9731763090E-66
