# Quartic Well - state n = 7
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   2.0220851E+01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    4.0960000000E+03   -3.5576759485-102    0.0000000000E+00    1.2657058154-203   -3.5576759485-102    0.0000000000E+00
   -7.9920000000E+00    4.0796405596E+03   -7.3173669639-102    0.0000000000E+00    5.3543859284-203   -7.3173669639-102    6.8712180845-104
   -7.9840000000E+00    4.0633301730E+03   -1.5034574797-101    0.0000000000E+00    2.2603843932-202   -1.5034574797-101    1.4055621380-103
   -7.9760000000E+00    4.0470687420E+03   -3.0849153937-101    0.0000000000E+00    9.5167029864-202   -3.0849153937-101    2.8702256006-103
   -7.9680000000E+00    4.0308561685E+03   -6.3209210750-101    0.0000000000E+00    3.9954043236-201   -6.3209210750-101    5.8522814274-103
   -7.9600000000E+00    4.0146923546E+03   -1.2932891503-100    0.0000000000E+00    1.6725968263-200   -1.2932891503-100    1.1915167002-102
   -7.9520000000E+00    3.9985772024E+03   -2.6423350530-100    0.0000000000E+00    6.9819345323-200   -2.6423350530-100    2.4224043525-102
   -7.9440000000E+00    3.9825106141E+03   -5.3908506562-100    0.0000000000E+00    2.9061270798-199   -5.3908506562-100    4.9177511790-102
   -7.9360000000E+00    3.9664924922E+03   -1.0982580026E-99    0.0000000000E+00    1.2061706404-198   -1.0982580026E-99    9.9692104273-102
   -7.9280000000E+00    3.9505227389E+03   -2.2342393133E-99    0.0000000000E+00    4.9918253092-198   -2.2342393133E-99    2.0180407829-101
   -7.9200000000E+00    3.9346012570E+03   -4.5387246186E-99    0.0000000000E+00    2.0600021164-197   -4.5387246186E-99    4.0791970912-101
   -7.9120000000E+00    3.9187279489E+03   -9.2069843958E-99    0.0000000000E+00    8.4768561664-197   -9.2069843958E-99    8.2337108798-101
   -7.9040000000E+00    3.9029027174E+03   -1.8650093385E-98    0.0000000000E+00    3.4782598326-196   -1.8650093385E-98    1.6595613249-100
   -7.8960000000E+00    3.8871254653E+03   -3.7724652205E-98    0.0000000000E+00    1.4231493840-195   -3.7724652205E-98    3.3401683828-100
   -7.8880000000E+00    3.8713960957E+03   -7.6199252163E-98    0.0000000000E+00    5.8063260302-195   -7.6199252163E-98    6.7130730655-100
   -7.8800000000E+00    3.8557145114E+03   -1.5369438626E-97    0.0000000000E+00    2.3621964367-194   -1.5369438626E-97    1.3472647281E-99
   -7.8720000000E+00    3.8400806156E+03   -3.0956206367E-97    0.0000000000E+00    9.5828671266-194   -3.0956206367E-97    2.6999993098E-99
   -7.8640000000E+00    3.8244943115E+03   -6.2261631191E-97    0.0000000000E+00    3.8765107185-193   -6.2261631191E-97    5.4032381365E-99
   -7.8560000000E+00    3.8089555025E+03   -1.2504804036E-96    0.0000000000E+00    1.5637012398-192   -1.2504804036E-96    1.0797541982E-98
   -7.8480000000E+00    3.7934640919E+03   -2.5079421902E-96    0.0000000000E+00    6.2897740293-192   -2.5079421902E-96    2.1546494681E-98
   -7.8400000000E+00    3.7780199834E+03   -5.0227665073E-96    0.0000000000E+00    2.5228183387-191   -5.0227665073E-96    4.2934843019E-98
   -7.8320000000E+00    3.7626230804E+03   -1.0045091480E-95    0.0000000000E+00    1.0090386285-190   -1.0045091480E-95    8.5432920972E-98
   -7.8240000000E+00    3.7472732867E+03   -2.0060919853E-95    0.0000000000E+00    4.0244050536-190   -2.0060919853E-95    1.6975530283E-97
   -7.8160000000E+00    3.7319705061E+03   -4.0006856762E-95    0.0000000000E+00    1.6005485880-189   -4.0006856762E-95    3.3682534110E-97
   -7.8080000000E+00    3.7167146425E+03   -7.9671916364E-95    0.0000000000E+00    6.3476142571-189   -7.9671916364E-95    6.6737521943E-97
   -7.8000000000E+00    3.7015056000E+03   -1.5843967444E-94    0.0000000000E+00    2.5103130438-188   -1.5843967444E-94    1.3204437360E-96
   -7.7920000000E+00    3.6863432826E+03   -3.1463792344E-94    0.0000000000E+00    9.8997022869-188   -3.1463792344E-94    2.6088843422E-96
   -7.7840000000E+00    3.6712275945E+03   -6.2394634223E-94    0.0000000000E+00    3.8930903798-187   -6.2394634223E-94    5.1472522177E-96
   -7.7760000000E+00    3.6561584401E+03   -1.2355862640E-93    0.0000000000E+00    1.5266734157-186   -1.2355862640E-93    1.0141036976E-95
   -7.7680000000E+00    3.6411357236E+03   -2.4433695383E-93    0.0000000000E+00    5.9700547008-186   -2.4433695383E-93    1.9951528504E-95
   -7.7600000000E+00    3.6261593498E+03   -4.8249864331E-93    0.0000000000E+00    2.3280494080-185   -4.8249864331E-93    3.9197418517E-95
   -7.7520000000E+00    3.6112292230E+03   -9.5146868317E-93    0.0000000000E+00    9.0529265505-185   -9.5146868317E-93    7.6900088867E-95
   -7.7440000000E+00    3.5963452481E+03   -1.8736348842E-92    0.0000000000E+00    3.5105076792-184   -1.8736348842E-92    1.5065546721E-94
   -7.7360000000E+00    3.5815073297E+03   -3.6844112136E-92    0.0000000000E+00    1.3574885991-183   -3.6844112136E-92    2.9473534998E-94
   -7.7280000000E+00    3.5667153729E+03   -7.2350993109E-92    0.0000000000E+00    5.2346662039-183   -7.2350993109E-92    5.7579704376E-94
   -7.7200000000E+00    3.5519692826E+03   -1.4187790629E-91    0.0000000000E+00    2.0129340293-182   -1.4187790629E-91    1.1233034782E-93
   -7.7120000000E+00    3.5372689638E+03   -2.7783024463E-91    0.0000000000E+00    7.7189644830-182   -2.7783024463E-91    2.1883452612E-93
