# Infinite Square Well - State n = 1
# Numerical k        =       3.141592653590
# Analytic  k        =       3.141592653590
# |k - k_exact|      =    0.000000E+00
# rel. error k       =    0.000000E+00
# Numerical Energy   =       4.934802200545
# Analytic  Energy   =       4.934802200545
# |E - E_exact|      =    0.000000E+00
# rel. error E       =    0.000000E+00
# Well width L       =   1.000000
# columns: x   V(x)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
    3.5000000000E-02    0.0000000000E+00    1.5518775100E-01    1.5518775100E-01    2.4083238061E-02   -1.8804402480E-13    1.6354215092E-09
    3.6000000000E-02    0.0000000000E+00    1.5960303009E-01    1.5960303009E-01    2.5473127213E-02   -1.9328982859E-13    1.6348584680E-09
    3.7000000000E-02    0.0000000000E+00    1.6401673396E-01    1.6401673396E-01    2.6901489018E-02   -1.9861889911E-13    1.6342792915E-09
    3.8000000000E-02    0.0000000000E+00    1.6842881905E-01    1.6842881905E-01    2.8368267085E-02   -2.0392021405E-13    1.6336839858E-09
    3.9000000000E-02    0.0000000000E+00    1.7283924181E-01    1.7283924181E-01    2.9873403510E-02   -2.0922152899E-13    1.6330725559E-09
    4.0000000000E-02    0.0000000000E+00    1.7724795872E-01    1.7724795872E-01    3.1416838871E-02   -2.1457835508E-13    1.6324450082E-09
    4.1000000000E-02    0.0000000000E+00    1.8165492627E-01    1.8165492627E-01    3.2998512237E-02   -2.1987967003E-13    1.6318013490E-09
    4.2000000000E-02    0.0000000000E+00    1.8606010095E-01    1.8606010095E-01    3.4618361167E-02   -2.2515322939E-13    1.6311415844E-09
    4.3000000000E-02    0.0000000000E+00    1.9046343930E-01    1.9046343930E-01    3.6276321710E-02   -2.3037127761E-13    1.6304657214E-09
    4.4000000000E-02    0.0000000000E+00    1.9486489785E-01    1.9486489785E-01    3.7972328414E-02   -2.3567259255E-13    1.6297737662E-09
    4.5000000000E-02    0.0000000000E+00    1.9926443316E-01    1.9926443316E-01    3.9706314323E-02   -2.4097390749E-13    1.6290657261E-09
    4.6000000000E-02    0.0000000000E+00    2.0366200181E-01    2.0366200181E-01    4.1478210983E-02   -2.4621971129E-13    1.6283416074E-09
    4.7000000000E-02    0.0000000000E+00    2.0805756040E-01    2.0805756040E-01    4.3287948441E-02   -2.5149327065E-13    1.6276014176E-09
