# Infinite Square Well - State n = 4
# Numerical k        =      12.566370618084
# Analytic  k        =      12.566370614359
# |k - k_exact|      =    3.725290E-09
# rel. error k       =    2.964492E-10
# Numerical Energy   =      78.956835255528
# Analytic  Energy   =      78.956835208715
# |E - E_exact|      =    4.681338E-08
# rel. error E       =    5.928984E-10
# Well width L       =   1.000000
# columns: x   V(x)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
    3.6000000000E-02    0.0000000000E+00    6.1817504561E-01    6.1817504552E-01    3.8214038702E-01    8.6259555054E-11    2.3778888624E-08
    3.7000000000E-02    0.0000000000E+00    6.3410962542E-01    6.3410962533E-01    4.0209501705E-01    8.8243301555E-11    2.3635255205E-08
    3.8000000000E-02    0.0000000000E+00    6.4994407197E-01    6.4994407188E-01    4.2242729669E-01    9.0194629543E-11    2.3487889506E-08
    3.9000000000E-02    0.0000000000E+00    6.6567588482E-01    6.6567588473E-01    4.4312438363E-01    9.2112650840E-11    2.3336814796E-08
    4.0000000000E-02    0.0000000000E+00    6.8130257973E-01    6.8130257964E-01    4.6417320515E-01    9.3996588291E-11    2.3182054933E-08
    4.1000000000E-02    0.0000000000E+00    6.9682168907E-01    6.9682168897E-01    4.8556046635E-01    9.5845997805E-11    2.3023634355E-08
    4.2000000000E-02    0.0000000000E+00    7.1223076218E-01    7.1223076208E-01    5.0727265859E-01    9.7659658138E-11    2.2861578078E-08
    4.3000000000E-02    0.0000000000E+00    7.2752736579E-01    7.2752736569E-01    5.2929606798E-01    9.9437125201E-11    2.2695911693E-08
    4.4000000000E-02    0.0000000000E+00    7.4270908441E-01    7.4270908431E-01    5.5161678406E-01    1.0117795490E-10    2.2526661361E-08
    4.5000000000E-02    0.0000000000E+00    7.5777352065E-01    7.5777352054E-01    5.7422070859E-01    1.0288070396E-10    2.2353853807E-08
    4.6000000000E-02    0.0000000000E+00    7.7271829566E-01    7.7271829556E-01    5.9709356445E-01    1.0454548338E-10    2.2177516321E-08
    4.7000000000E-02    0.0000000000E+00    7.8754104950E-01    7.8754104939E-01    6.2022090465E-01    1.0617140500E-10    2.1997676748E-08
    4.8000000000E-02    0.0000000000E+00    8.0223944148E-01    8.0223944137E-01    6.4358812146E-01    1.0775746961E-10    2.1814363486E-08
    4.9000000000E-02    0.0000000000E+00    8.1681115055E-01    8.1681115044E-01    6.6718045566E-01    1.0930323313E-10    2.1627605484E-08
